SDOH Category,Category,Product,Field Name,Field Description,Field Definition,PeopleCore Pop. Type,Opt-In State Pop. Type,Range,Var. Type,Added,Length
Economic Insecurity,Behaviors,HealthIQ,HW_JOB_SATIS_Z4,Average measure of Job Satisfaction (7=very satisfied; 1=very unsatisfied),This element predicts the average level of satisfaction individuals in the Zip+4 have with their current job on a scale from 1 to 7 (7 = highly satisfied; 1 = highly unsatisfied). Zip+4 Version,Zip+4,Zip+4,1 to 7,Num,3q18,1
Economic Insecurity,People,FinanceIQ,OS_EPFI,"Tendency of High Motivation, Planning AND Organizing for Pers. Finance (7=most likely)","This element represents the Executive Functioning Finance Index which indicates an individual's tendency to be motivated, organized, and planning for their personal finances.",Individual,Individual,1 to 7,Num,3q17,1
Economic Insecurity,People,FinanceIQ,OS_EPFI_Z4,"Tendency of High Motivation, Planning AND Organizing for Pers. Finance (7=most likely)","This element represents the Executive Functioning Finance Index which indicates an the average tendency for individuals in the Zip+4 to be motivated, organized, and planning for their personal finances. Zip+4 Version",Zip+4,Zip+4,1 to 7,Num,3q17,1
Economic Insecurity,People,FinanceIQ,OS_FIN_PLANNING,Tendency of High Planning of Pers. Finance (7=most likely),This element indicates the tendency of an individual to be currently concerned with and highly motivated to specifically plan for their futures. These individuals are actively researching to invest in their finances.,Individual,Individual,1 to 7,Num,1q18,1
Economic Insecurity,People,FinanceIQ,OS_FIN_PLANNING_Z4,Tendency of High Planning for Pers. Finance (7=most likely),This element indicates the tendency of individuals in the Zip+4 to be currently concerned with and highly motivated to specifically plan for their futures. These individuals are actively researching to invest in their finances. Zip+4 Version,Zip+4,Zip+4,1 to 7,Num,1q18,1
Economic Insecurity,People,FinanceIQ,OS_FIN_IMPCONTROL,Tendency of High Financial Control (7=most likely),This element indicates the tendency of an individual to effectively controls their current spending. These individuals do not make impulsive or spontaneous financial decisions.,Individual,Individual,1 to 7,Num,1q18,1
Economic Insecurity,People,FinanceIQ,OS_FIN_IMPCONTROL_Z4,Tendency of High Financial Control (7=most likely),This element indicates the tendency of individuals in the Zip+4 to effectively controls their current spending. These individuals do not make impulsive or spontaneous financial decisions. Zip+4 Version,Zip+4,Zip+4,1 to 7,Num,1q18,1
Economic Insecurity,People,FinanceIQ,OS_FIN_IMP,Tendency of High Financial Impulsion (7=most likely),This element indicates the tendency of an individual to not control their current spending. These individuals are likely to make impulsive or spontaneous financial decisions.,Individual,Individual,1 to 7,Num,1q18,1
Economic Insecurity,People,FinanceIQ,OS_FIN_IMP_Z4,Tendency of High Financial Impulsion (7=most likely),This element indicates the tendency of individuals in the Zip+4 to not control their current spending. These individuals are likely to make impulsive or spontaneous financial decisions. Zip+4 Version,Zip+4,Zip+4,1 to 7,Num,1q18,1
Economic Insecurity,People,FinanceIQ,OS_FIN_MOTIVATION,Tendency of High Financial Growth Motivation (7=most likely),This element indicates the tendency of an individual to be currently concerned with and highly motivated to find opportunities for financial growth.,Individual,Individual,1 to 7,Num,1q18,1
Economic Insecurity,People,FinanceIQ,OS_FIN_MOTIVATION_Z4,Tendency of High Financial Growth Motivation (7=most likely),This element indicates the tendency of individuals in the Zip+4 to be currently concerned with and highly motivated to find opportunities for financial growth. Zip+4 Version,Zip+4,Zip+4,1 to 7,Num,1q18,1
Economic Insecurity,People,FinanceIQ,OS_FIN_ORGANIZATION,Tendency of High Financial Organization (7=most likely),This element indicates the tendency of an individual to be currently concerned with having all of their finances organized and accounted for. These individuals balance their checkbooks and check statements to ensure accuracy.,Individual,Individual,1 to 7,Num,1q18,1
Economic Insecurity,People,FinanceIQ,OS_FIN_ORGANIZATION_Z4,Tendency of High Financial Organization (7=most likely),This element indicates the tendency of individuals in the Zip+4 to be currently concerned with having all of their finances organized and accounted for. These individuals balance their checkbooks and check statements to ensure accuracy. Zip+4 Version,Zip+4,Zip+4,1 to 7,Num,1q18,1
Economic Insecurity,People,FinanceIQ,SPENDEX_PLUS_V2,Discretionary Spending Predictor Score (actual $). Designed for Financial Services Advertising (FSA),This element provides the dollar amount of discretionary spend a household has available and is prepared to spend in the next 12-months. Designed for Financial Services Advertising (FSA),Household,Household,$888 to $4000000,Num,4q16,8
Economic Insecurity,People,FinanceIQ,SPENDEX_PLUS_V2_Z4,Discretionary Spending Score (Dollar Values),This element provides the average dollar amount of discretionary spend a household has available and is prepared to spend in the next 12-months in the Zip+4. Zip+4 Version,Zip+4,Zip+4,888 to 3500000,Num,4q16,8
Economic Insecurity,People,FinanceIQ,INVESTORIQ_PLUS_V4,Investable Taxable Assets Predictor Score (in $'000) - Version 4,This element provides a household's total investable taxable assets in $'000.,Household,Household,$0 to $15000,Num,2q16,8
Economic Insecurity,People,FinanceIQ,INVESTORIQ_PLUS_V4_Z4,Investable Taxable Assets Predictor (in $'000) - Version 4,This element provides the average total investable taxable assets in $'000 for households in the Zip+4. Zip+4 Version,Zip+4,Zip+4,$0 to $20000,Num,2q16,8
Economic Insecurity,People,FinanceIQ,LT_INVEST_ACTIVE_V2,Likelihood of Making Investments Solo or Change Investment Advisors Recently (1=least likely; 7=most likely),This element predicts the likelihood that an individual makes investments solo or has changed investment advisors recently on a scale from 1 (least likely) to 7 (most likely).,Individual,Individual,1 to 7,Num,1q22,1
Economic Insecurity,People,FinanceIQ,INVEST_ACTIVE,Active Investor Flag- Currently Has Personal Investments (Y/N),This element indicates a household currently has active personal investments.,Household,Household,Y/N,Char,2q09,1
Economic Insecurity,People,FinanceIQ,INVEST_ACTIVE_Z4,Active Investor Penetration Rate,This element provides the penetration rate of individuals that currently have active personal investments in the Zip+4. Zip+4 Version,Zip+4,Zip+4,0 to 100,Num,3q10,8
Economic Insecurity,People,FinanceIQ,LT_INVEST_REAL_ESTATE_V2,Likelihood of Having Investments in Real Estate (1=least likely; 7=most likely),This element predicts the likelihood that an individual has real estate investments on a scale from 1 (least likely) to 7 (most likely).,Individual,Individual,1 to 7,Num,1q22,1
Economic Insecurity,People,FinanceIQ,INVEST_REAL_ESTATE,Real Estate Investor Flag (Y/N),This element indicates a household has real estate investments.,Household,Household,Y/N,Char,2q09,1
Economic Insecurity,People,FinanceIQ,INVEST_REAL_ESTATE_Z4,Real Estate Investments Penetration Rate,This element provides the penetration rate of individuals that currently have real estate investments in the Zip+4. Zip+4 Version,Zip+4,Zip+4,0 to 100,Num,3q10,8
Economic Insecurity,People,FinanceIQ,INCOMEIQ_PLUS_V3,Income predictor Score (in $'000),This element predicts a household's annual income.,HH/Ind,HH/Ind,$1 to $30000,Num,1q16,8
Economic Insecurity,People,FinanceIQ,INCOMEIQ_PLUS_V3_Z4,AIQ Income Score - Dollar Values (in '000) - Version 3,This element predicts the average annual income for households in the Zip+4. Zip+4 Version,Zip+4,Zip+4,1 to 18000,Num,1q16,8
Economic Insecurity,People,FinanceIQ,WEALTHIQ_PLUS_V4,Net Worth Predictor Score (in $'000) - Version 4,This element provides an individual's net worth in $'000.,Individual,Individual,-$350 to $20000,Num,2q16,8
Economic Insecurity,People,FinanceIQ,WEALTHIQ_PLUS_V4_Z4,AIQ Net Worth Model - Dollar Values (in '000) - Version 4,This element provides the average net worth in $'000 of households in the Zip+4. Zip+4 Version,Zip+4,Zip+4,1 to 28000,Num,2q16,8
Economic Insecurity,People,FinanceIQ,LT_INVESTMENTS_V2,Likelihood of Having Long Term Investments (1=least likely; 7=most likely),"This element predicts the likelihood that an individual has long term investments such as stocks, bonds, 401k, mutual funds, etc. on a scale from 1 (least likely) to 7 (most likely).",Individual,Individual,1 to 7,Num,1q22,1
Economic Insecurity,People,FinanceIQ,INVESTMENTS,Investments Flag- Currently Has Investments of Any Kind (Y/N),This element indicates a household currently has investments of any kind.,Individual,Individual,Y/N,Char,2q09,1
Economic Insecurity,People,FinanceIQ,INVESTMENTS_Z4,Penetration Rate of Investors,This element provides the penetration rate of individuals that currently have investments of any kind in the Zip+4. Zip+4 Version,Zip+4,Zip+4,0 to 100,Num,3q10,8
Economic Insecurity,People,JobsIQ,AIQ_EMPLOYMENT,Employment Status (1-3=most likely unemployed; 4=most likely part-time; 5-7= most likely full-time),"This element predicts an individual's employment status on a scale from 1-7 where 1-3 means a very low likelihood of employment, 4 means part-time employment, and 5-7 means full-time employment.",Individual,Individual,1 to 7,Num,2q18,1
Economic Insecurity,People,JobsIQ,AIQ_EMPLOYMENT_Z4,Dominant Employment Status (1-3=most likely unemployed; 4=most likely part-time; 5-7= most likely full-time),"This element predicts the dominant employment status in the Zip+4 on a scale from 1-7 where 1-3 means a very low likelihood of employment, 4 means part-time employment, and 5-7 means full-time employment. Zip+4 Version",Zip+4,Zip+4,1 to 7,Num,2q18,1
Economic Insecurity,People,JobsIQ,JOB_SEEKER,Willing to Change Jobs (Y/N),This element indicates if an individual is likely to be willing to change jobs.,Individual,Individual,Y/N,Char,3q19,1
Economic Insecurity,People,JobsIQ,JOB_SEEKER_Z4,Willing to Change Jobs Penetration Rate,This element provides the penetration rate of individuals in the Zip+4 who are likely to be willing to change jobs. Zip+4,Zip+4,Zip+4,0 to 100,Num,3q19,1
Economic Insecurity,People,JobsIQ,JOB_SEEKER_ACTIVE,Actively Searching for New Job (Y/N),This element indicates if an individual is likely to be actively looking for a new job.,Individual,Individual,Y/N,Char,3q19,1
Economic Insecurity,People,JobsIQ,JOB_SEEKER_ACTIVE_Z4,Actively Searching for New Job Penetration Rate,This element provides the penetration rate of individuals in the Zip+4 who are likely to be actively looking for a new job. Zip+4 Version,Zip+4,Zip+4,0 to 100,Num,3q19,1
Economic Insecurity,People,GeoCreditIQ,RISKIQ_PLUS,Modeled Proxy Credit Score - 0 (likely to have low credit score/high risk) to 99 (likely to have high credit score/low risk),"This element provides a proxy credit score for individuals in the Zip+4, ranging from 0 equating to likely to have low credit and potentially high risk.",Zip+4,Zip+4,0 to 99,Num,3q15,2
Economic Insecurity,People,FinanceIQ,AIQ_ATP_V2,Ability to Pay Debts (99 = most likely to be able to repay) Version 2,This element indicates an individual's ability to pay back their debts. Individuals with a higher score are considered more likely to be able to pay back their debts.,Individual,Individual,0 to 99,Num,4q17,8
Economic Insecurity,People,FinanceIQ,AIQ_ATP_V2_Z4,Average ability to Pay Debts for Zip+4 (99 = most likely to be able to repay) Version 2,This element indicates the average ability of individuals in the Zip+4 to pay back their debts. A higher score means individuals in the Zip+4 more likely to be able to pay back their debts on average. Zip+4 Version,Zip+4,Zip+4,0 to 99,Num,4q17,8
Economic Insecurity,People,GeoCreditIQ,GC_BRUTIL,Average % of balance to high credit/credit limit on open bank revolving trades (reported within last 6 months),This element indicates the average percentage of balance to high credit/credit limit on open bank resolving trades reported within the last 6 months in the Zip+4.,Zip+4,Zip+4,0% to 110%,Num,3q15,8
Economic Insecurity,People,FinanceIQ,INVEST_FINANCE_V2,Likely to Be Interested in Investments (Y/N),This element indicates that an individual is likely to be interested in financial investments.,Individual,Individual,Y/N,Char,1q22,1
Economic Insecurity,People,FinanceIQ,LT_INVEST_FOREIGN_V2,Likelihood of Having Investments in Foreign Countries (1=least likely; 7=most likely),This element predicts the likelihood that an individual has investments in countries outside of the United States on a scale from 1 (least likely) to 7 (most likely).,Individual,Individual,1 to 7,Num,1q22,1
Economic Insecurity,People,FinanceIQ,LT_INVEST_PERSONAL_V2,Likelihood of Having Personal Investments/Loans (1=least likely; 7=most likely),This element predicts the likelihood that an individual has personal investments or loans on a scale from 1 (least likely) to 7 (most likely).,Individual,Individual,1 to 7,Num,1q22,1
Economic Insecurity,People,FinanceIQ,LT_INVEST_PROF_MGMT_V2,Likelihood of Utilizing a Professional Financial Advisor (1=least likely; 7=most likely),This element predicts the likelihood that an individual utilizes a financial advisor on a scale from 1 (least likely) to 7 (most likely).,Individual,Individual,1 to 7,Num,1q22,1
Economic Insecurity,People,FinanceIQ,LT_INVEST_STOCKS_BONDS_V2,Likelihood of Investing in Stocks and/or Bonds (1=least likely; 7=most likely),This element predicts the likelihood that an individual invests in stocks and/or bonds on a scale from 1 (least likely) to 7 (most likely).,Individual,Individual,1 to 7,Num,1q22,1
Language Proficiency & Barriers,People,DemoIQ,ASSIMILATION_CODE,English Language Assimilation (Level) / Language Assimilation (Level),This element predicts an individual's English language assimilation level. State Sensitive Element,Individual,Household,See tab,Char,0,1
Language Proficiency & Barriers,People,DemoIQ,HS_ASSIMILATION,Hispanic - Likelihood of Assimilation (7=most likely; 1=least likely),This element predicts the likelihood that a Hispanic individual has assimilated to United States culture. State Sensitive Element,Individual,Household,1 to 7,Num,1q20,1
Language Proficiency & Barriers,People,DemoIQ,HS_ASSIMILATION_Z4,Hispanic - Average Likelihood of Assimilation (7=most likely; 1=least likely),"This element predicts the average likelihood that a Hispanic individual in the Zip+4 has assimilated to United States culture. Zip+4 Version, State Sensitive Element",Zip+4,Zip+4,1 to 7,Num,1q20,1
Language Proficiency & Barriers,People,DemoIQ,HS_BILINGUAL,"Hispanic - Likelihood of being Bilingual (English and Spanish) (7=most likely, 1=least likely)",This element predicts the likelihood that a Hispanic individual is bilingual and speaks both Spanish and English. State Sensitive Element,Individual,Household,1 to 7,Num,1q20,1
Language Proficiency & Barriers,People,DemoIQ,HS_BILINGUAL_Z4,"Hispanic - Average Likelihood of being Bilingual (English and Spanish) (7=most likely, 1=least likely)","This element predicts the average likelihood that a Hispanic individual in the Zip+4 is bilingual and speaks both Spanish and English. Zip+4 Version, State Sensitive Element",Zip+4,Zip+4,1 to 7,Num,1q20,1
Language Proficiency & Barriers,People,DemoIQ,HS_FIRST_GENERATION,Hispanic - Likelihood of being a First Generation Immigrant (7=most likely; 1=least likely),This element predicts the likelihood that a Hispanic individual is a first generation immigrant to the United States. State Sensitive Element,Individual,Household,1 to 7,Num,1q20,1
Language Proficiency & Barriers,People,DemoIQ,HS_FIRST_GENERATION_Z4,Hispanic - Average Likelihood of being a First Generation Immigrant (7=most likely; 1=least likely),"This element predicts the average likelihood that a Hispanic individual in the Zip+4 is a first generation immigrant to the United States. Zip+4 Version, State Sensitive Element",Zip+4,Zip+4,1 to 7,Num,1q20,1
Language Proficiency & Barriers,People,DemoIQ,HS_PRIMARY_LANG_SPANISH,Hispanic - Likelihood of Spanish being Primary Language (7=most likely; 1=least likely),This element predicts the likelihood of Spanish being the primary language for a Hispanic individual. State Sensitive Element,Individual,Household,1 to 7,Num,1q20,1
Language Proficiency & Barriers,People,DemoIQ,HS_PRIMARY_LANG_SPANISH_Z4,Hispanic - Average Likelihood of Spanish being Primary Language (7=most likely; 1=least likely),"This element predicts the average likelihood of Spanish being the primary language for a Hispanic individual in the Zip+4. Zip+4 Version, State Sensitive Element",Zip+4,Zip+4,1 to 7,Num,1q20,1
Language Proficiency & Barriers,People,DemoIQ,HS_SECOND_GENERATION,Hispanic - Likelihood of being a Child of New Immigrants (7=most likely; 1=least likely),This element predicts the likelihood that a Hispanic individual is a second generation citizen of the United States (child of a new immigrant). State Sensitive Element,Individual,Household,1 to 7,Num,1q20,1
Language Proficiency & Barriers,People,DemoIQ,HS_SECOND_GENERATION_Z4,Hispanic - Average Likelihood of being a Child of New Immigrants (7=most likely; 1=least likely),"This element predicts the average likelihood that a Hispanic individual in Zip+4 is a second generation citizen of the United States (child of a new immigrant). Zip+4 Version, State Sensitive Element",Zip+4,Zip+4,1 to 7,Num,1q20,1
Language Proficiency & Barriers,People,DemoIQ,LANGUAGE_CODE,Native Language Code,This element indicates an individual's native language code. State Sensitive Element,Individual,Household,See tab,Char,0,2
Social Isolation,People,DemoIQ,AIQ_ADULTS_IN_HH_V2,Number of Adults in Household,This element indicates the likely number of adults living in the household.,HH/Ind,HH/Ind,1 to 6,Num,3q21,8
"Geography (e.g., urban vs rural)",People,DemoIQ,NUMBEROFADULTS_Z4,Average Number of Adults at Residential Unit within the Zip+4. (EX: 600 = 6.00),This element indicates the average number of adults at residential unit within the Zip+4. (EX: 600 = 6.00),Zip+4,Zip+4,100 to 600,Num,2q09,8
Social Isolation,People,DemoIQ,AIQ_CHILDREN_IN_HH_V2,Number of Children in Household,This element indicates the likely number of children living in the household.,Household,Household,0 to 4,Num,3q21,5
Social Isolation,People,DemoIQ,NUMBEROFCHILDREN_Z4,Average Number of Children at Residential Unit in Zip+4,This element indicates the average number of children at residential unit in Zip+4.,Zip+4,Zip+4,0 to 800,Num,2q09,8
Social Isolation,People,DemoIQ,AIQ_PEOPLE_IN_HH_V2,Number of Individuals in Household,This element indicates the likely number of individuals in a household.,Household,Household,1 to 9,Num,3q21,8
Social Isolation,People,DemoIQ,PERSONSATRESIDENCE_Z4,Average Number of Persons at Residential Unit in Zip+4,This element indicates the average number of persons at a residential unit in the Zip+4.,Zip+4,Zip+4,0 to 11,Num,2q09,8
Social Isolation,People,DemoIQ,COHABITATE,Romantic Partners Living in the same Household (Yes = non-married romantic cohabitants; No = does not live with romantic partner; No Married = married individuals),This element indicates if an individual lives in the same household as their romantic partner.,Individual,Individual,0,Char,2q19,8
Social Isolation,People,DemoIQ,COHABITATE_Z4,Penetration Rate of Romantic Partners Living in the same Household,This element indicates the penetration rate of individuals in the Zip+4 who live in the same household as their romantic partner. Zip+4 Version,Zip+4,Zip+4,0 to 100,Num,2q19,8
Social Isolation,People,DemoIQ,AIQ_MARITAL_V2,Marital Status (Married Now  = 48.5%; Single-Divorced = 11.3%; Single-Other = 40.2%),This element indicates an individual's marital status.,Individual,Individual,See tab,Char,4q17,8
Social Isolation,People,DemoIQ,MARRIAGE_CODE_Z4,Dominant Marital Status,This element indicates the dominant marital status of the Zip+4.,Zip+4,Zip+4,See tab,Char,3q10,15
Social Isolation,People,DemoIQ,LT_GRAND_PARENT,Likelihood of being a Grandparent (7=most likely; 1=least likely),This element predicts the likelihood of an individual being a grandparent.,Individual,Individual,1 to 7,Num,4q18,1
Social Isolation,People,DemoIQ,LT_GRAND_PARENT_Z4,Average Likelihood of being a Grandparent (7=most likely; 1=least likely),This element predicts the average likelihood of an individual in the Zip+4 being a grandparent. Zip+4 Version,Zip+4,Zip+4,1 to 7,Num,4q18,1
Social Isolation,People,DemoIQ,LT_DOG_OWNER_V3,Likelihood of Owning a Dog (1=least likely; 7=most likely),This element predicts the likelihood of an individual owning a dog on a scale from 1 (least likely) to 7 (most likely).,Individual,Individual,1 to 7,Num,3q21,1
Social Isolation,People,DemoIQ,LT_DOG_OWNER_V3_Z4,Average Likelihood of Owning a Dog (1=least likely; 7=most likely),This element predicts the average likelihood of an individual in the Zip+4 owning a dog on a scale from 1 (least likely) to 7 (most likely). Zip+4 Version,Zip+4,Zip+4,1 to 7,Num,3q21,1
Social Isolation,People,DemoIQ,LT_CAT_OWNER_V3,Likelihood of Owning a Cat (1=least likely; 7=most likely),This element predicts the likelihood of an individual owning a cat on a scale from 1 (least likely) to 7 (most likely).,Individual,Individual,1 to 7,Num,3q21,1
Social Isolation,People,DemoIQ,LT_CAT_OWNER_V3_Z4,Average Likelihood of Owning a Cat (1=least likely; 7=most likely),This element predicts the average likelihood of an individual in the Zip+4 owning a cat on a scale from 1 (least likely) to 7 (most likely). Zip+4 Version,Zip+4,Zip+4,1 to 7,Num,3q21,1
Social Isolation,People,DemoIQ,LT_PET_OWNER_V3,Likelihood to Own a Household Pet (1=least likely; 7=most likely),This element predicts the likelihood of an individual owning a household pet on a scale from 1 (least likely) to 7 (most likely).,Individual,Individual,1 to 7,Num,3q21,1
Social Isolation,People,DemoIQ,LT_PET_OWNER_V3_Z4,Average Likelihood to Own a Household Pet (1=least likely; 7=most likely),This element predicts the average likelihood of an individual in the Zip+4 owning a household pet on a scale from 1 (least likely) to 7 (most likely). Zip+4 Version,Zip+4,Zip+4,1 to 7,Num,3q21,1
Social Isolation,People,DemoIQ,LT_OTHER_PET_OWNER_V3,"Likelihood of Owning an ""Other"" Pet (ex: fish, rabbit, gerbil, etc.) (1=least likely; 7=most likely)","This element predicts the likelihood of an individual owning an ""other"" pet, such as a fish, rabbit, gerbil, etc. on a scale from 1 (least likely) to 7 (most likely).",Individual,Individual,1 to 7,Num,3q21,1
Social Isolation,People,DemoIQ,LT_OTHER_PET_OWNER_V3_Z4,"Average Likelihood of Owning an ""Other"" Pet (ex: fish, rabbit, gerbil, etc.) (1=least likely; 7=most likely)","This element predicts the average likelihood of an individual in the Zip+4 owning an ""other"" pet, such as a fish, rabbit, gerbil, etc. on a scale from 1 (least likely) to 7 (most likely). Zip+4 Version",Zip+4,Zip+4,1 to 7,Num,3q21,1
Social Isolation,People,DemoIQ,GENERATIONS_IN_HH,Number of Generations in Household,This element indicates the number of generations in the household.,Household,Household,1 to 3,Num,2q09,8
Social Isolation,People,DemoIQ,HS_GENERATIONS_IN_HOME,Hispanic - Likely Number of Generations in the Home (0=not Hispanic; 3=3+ generations in home),"This element predicts the most likely number of Hispanic generations living in the household where 0 = not Hispanic, 1 = 1 generation, 2 = 2 generations, and 3 = 3 or more generations. State Sensitive Element",Individual,Household,1 to 3,Num,1q20,1
Social Isolation,People,DemoIQ,HS_GENERATIONS_IN_HOME_Z4,Hispanic - Average Likely Number of Generations in the Home (0=not Hispanic; 3=3+ generations in home),"This element predicts the average most likely number of Hispanic generations living in households in the Zip+4 where 0 = not Hispanic, 1 = 1 generation, 2 = 2 generations, and 3 = 3 or more generations. Zip+4 Version, State Sensitive Element",Zip+4,Zip+4,1 to 3,Num,1q20,1
Social Isolation,People,DemoIQ,LT_SINGLE_PARENT_V2,Likelihood of Being Single Parent with Primary Custody (1=least likely; 7=most likely),This element predicts the likelihood that an individual is a single parent with primary custody of their children on a scale from 1 (least likely) to 7 (most likely).,Individual,Individual,1 to 7,Num,3q20,1
Social Isolation,People,DemoIQ,LT_SINGLE_PARENT_V2_Z4,Average Likelihood of Being Single Parent with Primary Custody (1=least likely; 7=most likely),This element predicts the average likelihood that an individual in the Zip+4 is a single parent with primary custody of their children on a scale from 1 (least likely) to 7 (most likely). Zip+4 Version,Zip+4,Zip+4,1 to 7,Num,3q20,1
Social Isolation,People,DemoIQ,LT_SENIOR_ADULT_IN_HH_V2,Likelihood of a Senior Adult in HH (7=most likely; 1=least likely),This element indicates the likelihood that there is a senior adult in the household where another adult is identified as the 1st individual (senior adult is age 55+).,Individual,Individual,1 to 7,Num,2q18,1
Social Isolation,People,DemoIQ,LT_SENIOR_ADULT_IN_HH_V2_Z4,Likelihood of a Senior Adult in HH (7=most likely; 1=least likely),This element indicates the likelihood that there is a senior adult in the household where another adult is identified as the 1st individual in the Zip+4 (senior adult is age 55+). Zip+4 Version,Zip+4,Zip+4,1 to 7,Num,2q18,1
Social Isolation,Predictors,MotivatorIQ,OS_IMPULSIVE,Tendency to be an Impulsive Person (1=least likely; 7=most likely),"This element predicts how likely it is that an individual makes buying decisions quickly, need purchases to be easy, and are motived by discount or time sensitive offers.",Individual,Individual,1 to 7,Num,3q16,1
Social Isolation,Predictors,MotivatorIQ,OS_EXTROVERSION,Tendency to be an Extroverted Person (7=most likely; 1=least likely),This element predicts how likely it is that an individual is extroverted/outgoing and thrive in social settings with groups of people (1 = least likely to be extroverted/most likely to be introverted; 7 = most likely to be extroverted/least likely to be introverted).,Individual,Individual,1 to 7,Num,2q17,1
Access to Technology,Predictors,MotivatorIQ,OS_INNOVATOR,Tendency to be an Early Adopter of Tech Advances (1=least likely; 7=most likely),This element predicts how likely it is that an individual is the first to try new technology and highly motivated to use electronics for communications and transactions.,Individual,Individual,1 to 7,Num,3q16,1
Access to Technology,Predictors,MotivatorIQ,OS_INNOVATOR_Z4,Survey Data Model - Tendency to be an Innovative Person (1=least likely; 7=most likely),This element predicts how likely it is that an individual in the Zip+4 is the first to try new technology and highly motivated to use electronics for communications and transactions. Zip+4 Version,Zip+4,Zip+4,1 to 7,Num,3q16,1
Access to Technology,Predictors,MotivatorIQ,OS_LAGGARD,Tendency to Lag Behind on Tech Advances (1=least likely; 7=most likely),This element predicts how likely it is that an individual does not readily adopt new technology.,Individual,Individual,1 to 7,Num,3q16,1
Access to Technology,Predictors,MotivatorIQ,OS_LAGGARD_Z4,Survey Data Model - Tendency to Lag Behind on Tech Advances (1=least likely; 7=most likely),This element predicts how likely it is that an individual in the Zip+4 does not readily adopt new technology. Zip+4 Version,Zip+4,Zip+4,1 to 7,Num,3q16,1
Access to Technology,Behaviors,ChannelIQ,YOUTUBE_CREATOR,Likelihood of Being a YouTube Content Creator (7=most likely; 1=least likely),This element indicates the likelihood that an individual is a YouTube content creator meaning they make and upload videos to their YouTube channel.,Individual,Individual,1 to 7,Num,2q19,1
Access to Technology,Behaviors,ChannelIQ,YOUTUBE_CREATOR_Z4,Average Likelihood of Being a YouTube Content Creator (7=most likely; 1=least likely),This element indicates the average likelihood that an individual in the Zip+4 is a YouTube content creator meaning they make and upload videos to their YouTube channel. Zip+4 Version,Zip+4,Zip+4,1 to 7,Num,2q19,1
Access to Technology,Behaviors,ChannelIQ,TWITCH_VIEWER,Likelihood of Being a Twitch Viewer (7=most likely; 1=least likely),This element indicates the likelihood that an individual is a Twitch viewer.,Individual,Individual,1 to 7,Num,2q19,1
Access to Technology,Behaviors,ChannelIQ,TWITCH_VIEWER_Z4,Average Likelihood of Being a Twitch Viewer (7=most likely; 1=least likely),This element indicates the average likelihood that an individual in the Zip+4 is a Twitch viewer. Zip+4 Version,Zip+4,Zip+4,1 to 7,Num,2q19,1
Access to Technology,Behaviors,ChannelIQ,SMARTPHONE_ANDROID_SCALE,Presence of Android Ownership (7=most likely to own),This element predicts the likelihood that an individual in the household owns/uses an Android smartphone on a scale from 1 (least likely) to 7 (most likely).,Individual,Individual,1 to 7,Num,1q16,8
Access to Technology,Behaviors,ChannelIQ,SMARTPHONE_ANDROID_Z4,Presence of Android Phone Ownership Penetration Rate,This element provides the penetration rate of Android smartphone ownership/use in the Zip+4. Zip+4 Version,Zip+4,Zip+4,0 to 100,Num,1q16,8
Access to Technology,Behaviors,ChannelIQ,SMARTPHONE_IPHONE_SCALE,Presence of iPhone Ownership (7=most likely to own),This element predicts the likelihood that an individual in the household owns/uses an iPhone smartphone on a scale from 1 (least likely) to 7 (most likely).,Individual,Individual,1 to 7,Num,1q16,8
Access to Technology,Behaviors,ChannelIQ,SMARTPHONE_IPHONE_Z4,Presence of iPhone Phone Ownership Penetration Rate,This element provides the penetration rate of iPhone smartphone ownership/use in the Zip+4. Zip+4 Version,Zip+4,Zip+4,0 to 100,Num,1q16,8
Access to Technology,Behaviors,ChannelIQ,SMARTPHONE_NONE_SCALE,No Type of Smartphone in the Home (7=no smartphone in the home),This element indicates that likelihood that no type of smartphone is use in the household.,Individual,Individual,1 to 7,Num,1q16,8
Access to Technology,Behaviors,ChannelIQ,SMARTPHONE_NONE_Z4,No Presence of Smartphone Usage Penetration Rate,This element indicates that penetration rate of no type of smartphone use in the Zip+4. Zip+4 Version,Zip+4,Zip+4,0 to 100,Num,1q16,8
Access to Technology,People,FinanceIQ,IOT_FINTECH_DIGITAL,Likelihood of Making Digital Payments (1=least likely; 7=most likely),This element predicts the likelihood that an individual makes digital payments on a scale from 1 (least likely) to 7 (most likely).,Individual,Individual,1 to 7,Num,3q20,1
Access to Technology,People,FinanceIQ,IOT_FINTECH_DIGITAL_Z4,Average Likelihood of Making Digital Payments (1=least likely; 7=most likely),This element predicts the average likelihood that an individual in the Zip+4 makes digital payments on a scale from 1 (least likely) to 7 (most likely). Zip+4 Version,Zip+4,Zip+4,1 to 7,Num,3q20,1
Access to Technology,People,FinanceIQ,REGB_FINTECH_DIGITAL,Likelihood of Being Interested in Using Digital Payment Options - (7=most likely; 1=least likely) Designed for Financial Services Advertising (FSA),"This element indicates the likelihood that an individual is interested in using digital payment options such as Apple Pay, PayPal or Square. Designed for Financial Services Advertising (FSA)",Individual,Individual,1 to 7,Num,1q19,1
